run,dynamics_field,seed,cell,policy,success_rate,n_episodes,total_gene_actions,n_actions_replogle_essential,n_actions_replogle_only_essential,n_actions_depmap_essential,n_actions_non_essential,frac_actions_replogle_essential,frac_actions_replogle_only_essential,frac_actions_depmap_essential,frac_actions_non_essential,expected_random_frac_replogle_essential,expected_random_frac_replogle_only_essential,enrichment_replogle_essential_vs_random,enrichment_replogle_only_vs_random,unique_genes_selected
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin6-8_splitood,PPO_BCD,0.185,200,400,1,1,0,399,0.0025,0.0025,0.0,0.9975,0.05714285714285714,0.0380952380952381,0.043750000000000004,0.06562499999999999,22
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin6-8_splitood,greedy_dyn_1_fused,0.44,200,400,7,7,8,385,0.0175,0.0175,0.02,0.9625,0.05714285714285714,0.0380952380952381,0.30625,0.459375,44
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin6-8_splitood,greedy_dyn_2_fused,0.355,200,400,7,7,10,383,0.0175,0.0175,0.025,0.9575,0.05714285714285714,0.0380952380952381,0.30625,0.459375,51
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin6-8_splitood,random_uniform_valid,0.015,200,394,18,11,12,371,0.04568527918781726,0.027918781725888325,0.030456852791878174,0.9416243654822335,0.05714285714285714,0.0380952380952381,0.799492385786802,0.7328680203045684,102
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin6-8_splitood,always_noop,0.0,200,0,0,0,0,0,,,,,,,,,0
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin8-10_splitood,PPO_BCD,0.0,200,400,32,32,0,368,0.08,0.08,0.0,0.92,0.05714285714285714,0.0380952380952381,1.4000000000000001,2.0999999999999996,11
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin8-10_splitood,greedy_dyn_1_fused,0.0,200,400,0,0,0,400,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,12
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin8-10_splitood,greedy_dyn_2_fused,0.0,200,400,0,0,0,400,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,13
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin8-10_splitood,random_uniform_valid,0.0,200,396,20,14,14,368,0.050505050505050504,0.03535353535353535,0.03535353535353535,0.9292929292929293,0.05714285714285714,0.0380952380952381,0.8838383838383839,0.9280303030303029,99
v2_aggressive_champion_seed42,v2_aggressive,42,k2_bin8-10_splitood,always_noop,0.0,200,0,0,0,0,0,,,,,,,,,0
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,PPO_BCD,0.8,200,563,1,1,0,562,0.0017761989342806395,0.0017761989342806395,0.0,0.9982238010657194,0.05714285714285714,0.0380952380952381,0.031083481349911193,0.04662522202486678,22
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,greedy_dyn_1_fused,0.925,200,512,12,12,8,492,0.0234375,0.0234375,0.015625,0.9609375,0.05714285714285714,0.0380952380952381,0.41015625,0.615234375,49
