seed,cell,policy,k,epsilon_label,success_rate,mean_steps,mean_final_distance,mean_total_reward,frac_success_T_le_3,frac_success_T_4_or_5,frac_success_T_gt_5,mean_tox_path,mean_common_essential_per_ep,fraction_zero_common_essential,mean_unc_path_max,mean_unc_path_mean
42,k2_bin6-8_splitood,PPO_BCD,2,p15,0.825,2.0,2.7003371617117193,0.8072068481671115,1.0,0.0,0.0,0.0,0.0,1.0,0.3558630366577688,0.33121183348855143
42,k2_bin6-8_splitood,random_uniform_valid,2,p15,0.12,1.97,3.891935692374475,0.09624408049694953,1.0,0.0,0.0,0.026491271769627928,0.06,0.94,0.3621358465217536,0.3388729595255588
42,k2_bin6-8_splitood,always_noop,2,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k2_bin6-8_splitood,greedy_dyn_1_fused,2,p15,0.905,1.995,2.5290405770233777,0.8840346941136166,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.3398629540217918
42,k2_bin6-8_splitood,greedy_dyn_2_fused,2,p15,0.91,2.0,2.561264371581456,0.8917253217823995,1.0,0.0,0.0,0.0,0.0,1.0,0.3654935643520081,0.3401948502547701
42,k2_bin8-10_splitood,PPO_BCD,2,p15,0.705,2.0,3.13876488001384,0.6849213308331682,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.37082669719802763
42,k2_bin8-10_splitood,random_uniform_valid,2,p15,0.05,1.98,4.130189898158259,0.023734915297003917,1.0,0.0,0.0,0.018585203997790813,0.07,0.93,0.41813128606433997,0.38381508583679513
42,k2_bin8-10_splitood,always_noop,2,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k2_bin8-10_splitood,greedy_dyn_1_fused,2,p15,0.705,2.0,2.8721213261532537,0.6840773143950648,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.38180041497123
42,k2_bin8-10_splitood,greedy_dyn_2_fused,2,p15,0.695,2.0,2.916626142109791,0.6740391635872437,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3794241496625308
42,k3_bin6-8_splitood,PPO_BCD,3,p15,1.0,2.175,2.5340713389013807,0.9822068481671116,1.0,0.0,0.0,0.0,0.0,1.0,0.3558630366577688,0.3276775322307074
42,k3_bin6-8_splitood,random_uniform_valid,3,p15,0.35,2.805,3.485553351562203,0.32141313363235363,1.0,0.0,0.0,0.041936947219073775,0.125,0.88,0.3628634329147804,0.3268618565578308
42,k3_bin6-8_splitood,always_noop,3,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k3_bin6-8_splitood,greedy_dyn_1_fused,3,p15,1.0,2.09,2.4318646387367364,0.9790346941136167,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.33755856632468734
42,k3_bin6-8_splitood,greedy_dyn_2_fused,3,p15,1.0,2.09,2.474180102533397,0.9817240755266073,1.0,0.0,0.0,0.0,0.0,1.0,0.365518489467853,0.3385438581038486
