field_id,cell_id,status,first_action_entropy_distance,first_action_entropy_fused,first_action_entropy_max_nats,first_action_top1_freq_fused,first_action_top5_freq_fused,first_action_gini_fused,distance_vs_fused_first_action_overlap,path_diversity_depth2_distance,path_diversity_depth3_distance
artifacts_64__dynamics,k2_bin6-8_splitood,ok,2.78278394224642,2.7358743530936165,4.653960350157523,0.203125,0.59375,0.8764880952380953,0.96875,0.71875,0.71875
artifacts_64__dynamics,k2_bin8-10_splitood,ok,1.8845214725071062,1.8845214725071062,4.653960350157523,0.203125,0.8125,0.944047619047619,1.0,0.125,0.125
artifacts_64__dynamics,k3_bin6-8_splitood,ok,2.78278394224642,2.7358743530936165,4.653960350157523,0.203125,0.59375,0.8764880952380953,0.96875,0.71875,0.78125
artifacts_64__dynamics,k3_bin8-10_splitood,ok,1.8845214725071062,1.8845214725071062,4.653960350157523,0.203125,0.8125,0.944047619047619,1.0,0.125,0.125
artifacts_64__dynamics,k4_bin8-10_splitood,ok,1.8845214725071062,1.8845214725071062,4.653960350157523,0.203125,0.8125,0.944047619047619,1.0,0.125,0.125
artifacts_64__dynamics,k5_bin8-10_splitood,ok,1.8845214725071062,1.8845214725071062,4.653960350157523,0.203125,0.8125,0.944047619047619,1.0,0.125,0.125
artifacts_64__dynamics,k8_bin8-10_splitood,ok,1.8845214725071062,1.8845214725071062,4.653960350157523,0.203125,0.8125,0.944047619047619,1.0,0.125,0.125
artifacts_64__dynamics_variants__baseline_plain,k2_bin6-8_splitood,ok,2.7410736439259202,2.692019130447994,4.653960350157523,0.140625,0.546875,0.8901785714285715,0.9375,0.65625,0.65625
artifacts_64__dynamics_variants__baseline_plain,k2_bin8-10_splitood,ok,1.5689294366803685,1.270157140873912,4.653960350157523,0.4375,1.0,0.9717261904761905,0.8125,0.125,0.125
artifacts_64__dynamics_variants__baseline_plain,k3_bin6-8_splitood,ok,2.7410736439259202,2.692019130447994,4.653960350157523,0.140625,0.546875,0.8901785714285715,0.9375,0.65625,0.75
