field_id,status,sample_label,n_starts,n_genes,contraction_fraction,alignment_cos_median,action_diversity_per_state,state_diversity_per_action,gene_universality_max,gene_universality_gini,null_gene_fraction,delta_magnitude_median
artifacts_64__dynamics,ok,ood_pool,191,105,0.999950137122912,0.808789809119125,0.09558462950904931,0.08061470511413282,0.9200318230136495,0.059647321841338474,0.0,3.1038915045469535
artifacts_64__dynamics_variants__baseline_plain,ok,ood_pool,191,105,0.999850411368736,0.8008839209573654,0.10198554895446046,0.0761107151680716,0.9096859459911246,0.06531247964170506,0.0,3.054573703958904
artifacts_64__dynamics_variants__gene_bias,ok,ood_pool,191,105,0.9975068561455996,0.778188348124851,0.19502399337264165,0.07371640632428485,0.9243941433968496,0.1319335029822064,0.0,2.873484025060939
artifacts_64__dynamics_variants__state_linear,ok,ood_pool,191,105,0.999950137122912,0.8088114415637726,0.0955888300195809,0.08061587074079496,0.9200269809435598,0.05964719606609514,0.0,3.104014368837363
artifacts_64__dynamics_variants__state_linear_combo0,ok,ood_pool,191,105,1.0,0.8172478877420276,0.08519336895899884,0.06986582517951198,0.9189952376127447,0.05283851778340076,0.0,3.284629343756298
artifacts_64__dynamics_variants__state_linear_gene_bias,ok,ood_pool,191,105,0.9984542508102717,0.7949600592880375,0.20045836564905115,0.06578557456871088,0.9475112406948057,0.13625687382121887,0.0,2.858912092933134
artifacts__dynamics,ok,ood_pool,244,105,0.9996487119437939,0.7758240290362441,0.1057909300771586,0.08684125296596296,0.9061402349487552,0.06910203156195727,0.0,2.8784604705857055
artifacts__dynamics_ablation__baseline,ok,ood_pool,244,105,0.9999219359875098,0.7686229531587996,0.10199482073861238,0.0873533482745386,0.8963834205758333,0.06804121131781637,0.0,2.865945707401149
artifacts__dynamics_ablation__gene_bias,ok,ood_pool,244,105,0.9972287275565964,0.7145319699748207,0.15056518400909807,0.10415847606520352,0.8711137184724094,0.10410093668055453,0.0,2.987676716013333
artifacts__dynamics_ablation__state_linear,ok,ood_pool,244,105,0.9997658079625292,0.788452301242462,0.09772844042340371,0.07632530634314626,0.91712640591928,0.06239174401254788,0.0,2.8385089467949784
artifacts__dynamics_ablation__state_linear_gene_bias,ok,ood_pool,244,105,0.9972677595628415,0.7345768401956236,0.15988851486200822,0.10086698203587083,0.8813150192770245,0.10901772092776385,0.0,2.974187877748275
artifacts__dynamics_current_default,ok,ood_pool,244,105,0.9996487119437939,0.7758240108967329,0.10579093788519507,0.08684127469393582,0.9061402342782524,0.06910203089765732,0.0,2.878461139254149
artifacts__dynamics_default_check,ok,ood_pool,244,105,0.9996487119437939,0.7758240126199729,0.10579093690374142,0.08684127325488356,0.9061402215503074,0.06910203555457572,0.0,2.8784609445525815
artifacts__dynamics_sweeps__lr1e-3_mse0,ok,ood_pool,244,105,0.9997658079625292,0.7884523130999213,0.09772841317408881,0.07632536817961971,0.9171263989166506,0.062391760086235815,0.0,2.838509856042159
artifacts__dynamics_sweeps__lr1e-4_mse0,ok,ood_pool,244,105,0.9997658079625292,0.7700370883153,0.10614933340143023,0.08824617705912427,0.9093392990561515,0.07040842329136132,0.0,2.8113316966870197
artifacts__dynamics_sweeps__lr3e-4_mse0,ok,ood_pool,244,105,0.9997658079625292,0.768086939486884,0.10401892433597842,0.08889874767774028,0.9002578128880199,0.06835552206098283,0.0,2.8295152491155013
artifacts__dynamics_sweeps__lr3e-4_mse005,ok,ood_pool,244,105,0.9997658079625292,0.7680780800194131,0.10406805978922899,0.08927209796408113,0.8997631236484901,0.06840897904231746,0.0,2.8344724230345673
artifacts__dynamics_sweeps__lr3e-4_mse01,ok,ood_pool,244,105,0.9997658079625292,0.7680306103742314,0.10413156850803085,0.0894666186639144,0.8993050059164495,0.06843905290132857,0.0,2.8400887773519035
artifacts_v2__dynamics_mean_delta_corr_005,ok,ood_pool,244,105,0.9846213895394224,0.4878397821362734,0.13487910765484218,0.14962964384519753,0.6560242506669197,0.11807605564120327,0.0,1.8725196001640576
artifacts_v2__dynamics_mean_delta_corr_010,ok,ood_pool,244,105,0.9848946135831381,0.48712430032946896,0.13469352809922847,0.149304703202252,0.6572970397811112,0.11730970848656197,0.0,1.8800468747448722
artifacts_v2__dynamics_mean_delta_corr_030,ok,ood_pool,244,105,0.9870413739266198,0.5028524471569158,0.13508322065090664,0.14332954311834303,0.6797693807298109,0.11596375240281565,0.0,1.8642935819408057
artifacts_v2__dynamics_mean_delta_default,ok,ood_pool,244,105,0.9842310694769711,0.487628845415503,0.13558139740153682,0.14939266057893055,0.653909935562182,0.11893769206172511,0.0,1.8647851235961697
artifacts_v2__dynamics_random_default,ok,ood_pool,244,105,1.0,0.9662102803146753,0.028841834542228058,0.008844812017502297,0.990532919211574,0.014823872212832878,0.0,6.274545559023132
artifacts_v2__dynamics_soft_ot_default,ok,ood_pool,244,105,0.0,-0.7699184583487086,0.04758442404059486,0.08376158811675011,-0.6219789726991265,0.025912598045043422,0.0,2.509245336598423
artifacts_v2__dynamics_v1ot_ror,ok,ood_pool,244,105,0.9995706479313037,0.7919032720285089,0.11522211092660778,0.08509944345237339,0.929254583034586,0.07435997393616955,0.0,2.8055082920663015
artifacts_v2__dynamics_v1ot_ror_corr005,ok,ood_pool,244,105,0.9995316159250586,0.784493830265283,0.11591264105740699,0.08779337007188386,0.9230173123722303,0.07520697069767368,0.0,2.8031825516876134
