field_id,cell_id,K,status,g1_distance_success,g1_fused_success,g2_distance_success,g2_fused_success,g3_distance_success,g3_fused_success,g5_distance_success,g5_fused_success,g8_distance_success,g8_fused_success,g2_minus_g1,g3_minus_g2,g5_minus_g3,g8_minus_g5,cumulative_K_max_minus_K1
artifacts_64__dynamics,k2_bin6-8_splitood,2,ok,0.734375,0.734375,0.78125,0.78125,,,,,,,0.046875,,,,0.046875
artifacts_64__dynamics,k2_bin8-10_splitood,2,ok,0.421875,0.421875,0.53125,0.53125,,,,,,,0.109375,,,,0.109375
artifacts_64__dynamics,k3_bin6-8_splitood,3,ok,0.9375,0.9375,0.953125,0.953125,0.953125,0.953125,,,,,0.015625,0.0,,,0.015625
artifacts_64__dynamics,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts_64__dynamics_variants__baseline_plain,k2_bin6-8_splitood,2,ok,0.75,0.75,0.765625,0.765625,,,,,,,0.015625,,,,0.015625
artifacts_64__dynamics_variants__baseline_plain,k2_bin8-10_splitood,2,ok,0.53125,0.53125,0.53125,0.53125,,,,,,,0.0,,,,0.0
artifacts_64__dynamics_variants__baseline_plain,k3_bin6-8_splitood,3,ok,0.9375,0.9375,0.96875,0.96875,0.96875,0.96875,,,,,0.03125,0.0,,,0.03125
artifacts_64__dynamics_variants__baseline_plain,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__baseline_plain,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__baseline_plain,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics_variants__baseline_plain,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts_64__dynamics_variants__gene_bias,k2_bin6-8_splitood,2,ok,0.796875,0.796875,0.75,0.75,,,,,,,-0.046875,,,,0.0
artifacts_64__dynamics_variants__gene_bias,k2_bin8-10_splitood,2,ok,0.1875,0.1875,0.1875,0.1875,,,,,,,0.0,,,,0.0
artifacts_64__dynamics_variants__gene_bias,k3_bin6-8_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__gene_bias,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__gene_bias,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__gene_bias,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics_variants__gene_bias,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts_64__dynamics_variants__state_linear,k2_bin6-8_splitood,2,ok,0.734375,0.734375,0.78125,0.78125,,,,,,,0.046875,,,,0.046875
artifacts_64__dynamics_variants__state_linear,k2_bin8-10_splitood,2,ok,0.421875,0.421875,0.53125,0.53125,,,,,,,0.109375,,,,0.109375
artifacts_64__dynamics_variants__state_linear,k3_bin6-8_splitood,3,ok,0.9375,0.9375,0.953125,0.953125,0.953125,0.953125,,,,,0.015625,0.0,,,0.015625
artifacts_64__dynamics_variants__state_linear,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics_variants__state_linear,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin6-8_splitood,2,ok,0.953125,0.953125,0.921875,0.921875,,,,,,,-0.03125,,,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin8-10_splitood,2,ok,0.8125,0.8125,0.671875,0.671875,,,,,,,-0.140625,,,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin6-8_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics_variants__state_linear_combo0,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin6-8_splitood,2,ok,0.8125,0.8125,0.796875,0.796875,,,,,,,-0.015625,,,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin8-10_splitood,2,ok,0.328125,0.328125,0.046875,0.1875,,,,,,,-0.28125,,,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin6-8_splitood,3,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin8-10_splitood,3,ok,1.0,1.0,1.0,1.0,0.8125,0.8125,,,,,0.0,-0.1875,,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k4_bin8-10_splitood,4,ok,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k5_bin8-10_splitood,5,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0
artifacts_64__dynamics_variants__state_linear_gene_bias,k8_bin8-10_splitood,8,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
artifacts__dynamics,k2_bin6-8_splitood,2,ok,0.453125,0.453125,0.46875,0.46875,,,,,,,0.015625,,,,0.015625
