field_id,status,u_a_predictive_sanity,u_b_reachable,u_c_depth_leverage_and_non_saturated,u_d_geometry_non_degenerate,u_e_action_heterogeneous,u_f_reward_leverage_present,u_g_planner_provides_leverage,all_preconditions_pass
artifacts_64__dynamics,ok,true,true,false,false,true,false,true,false
artifacts_64__dynamics_variants__baseline_plain,ok,true,true,false,false,true,true,true,false
artifacts_64__dynamics_variants__gene_bias,ok,false,true,false,false,true,false,true,false
artifacts_64__dynamics_variants__state_linear,ok,true,true,false,false,true,false,true,false
artifacts_64__dynamics_variants__state_linear_combo0,ok,true,true,false,false,true,true,true,false
artifacts_64__dynamics_variants__state_linear_gene_bias,ok,false,false,false,false,true,true,true,false
artifacts__dynamics,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_ablation__baseline,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_ablation__gene_bias,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_ablation__state_linear,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_ablation__state_linear_gene_bias,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_current_default,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_default_check,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_sweeps__lr1e-3_mse0,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_sweeps__lr1e-4_mse0,ok,true,true,false,false,true,false,true,false
artifacts__dynamics_sweeps__lr3e-4_mse0,ok,true,true,false,false,true,true,true,false
artifacts__dynamics_sweeps__lr3e-4_mse005,ok,true,true,false,false,true,false,true,false
artifacts__dynamics_sweeps__lr3e-4_mse01,ok,true,true,false,false,true,false,true,false
artifacts_v2__dynamics_mean_delta_corr_005,ok,true,false,false,false,true,true,true,false
artifacts_v2__dynamics_mean_delta_corr_010,ok,true,false,false,false,true,true,true,false
artifacts_v2__dynamics_mean_delta_corr_030,ok,true,false,false,false,true,true,true,false
artifacts_v2__dynamics_mean_delta_default,ok,true,false,false,false,true,true,true,false
artifacts_v2__dynamics_random_default,ok,true,true,false,false,false,false,true,false
artifacts_v2__dynamics_soft_ot_default,ok,true,false,false,false,false,false,false,false
artifacts_v2__dynamics_v1ot_ror,ok,true,true,false,false,true,false,true,false
artifacts_v2__dynamics_v1ot_ror_corr005,ok,true,true,false,false,true,false,true,false
artifacts_v2__dynamics_v1ot_ror_corr010,,true,false,false,false,true,false,true,false
artifacts_v3__dynamics_n64_legacy_ror_corr010,ok,true,true,false,false,true,false,true,false
artifacts_v3__dynamics_n64_nb_ror_corr010,ok,true,true,false,false,true,true,true,false
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,ok,true,true,false,false,true,false,true,false
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,ok,true,false,false,false,true,false,true,false
