field_id,cell_id,status,delta_success_fused_minus_distance,delta_final_distance,delta_T_at_success,delta_tox_path,delta_common_essential_count,delta_unc_path_max,pareto_axes_improved,pareto_signal,concern_over_shaped,norman_combo_status,fraction_paths_with_measured_combo_overlap,measured_combo_latent_consistency
artifacts_64__dynamics,k2_bin6-8_splitood,ok,0.0,0.0173830345949173,0.0,-0.0027470756031107157,-0.0625,-0.00012806858092578866,3,true,false,no_combo_data,,
artifacts_64__dynamics,k2_bin8-10_splitood,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics,k3_bin6-8_splitood,ok,0.0,0.021220842648407068,-0.016393442622950616,-0.009474519523791969,-0.109375,-0.0003174951527818437,4,true,false,no_combo_data,,
artifacts_64__dynamics,k3_bin8-10_splitood,ok,0.0,0.008905926014104448,0.0,-0.001409422344295308,-0.046875,-0.0003327149679388519,3,true,false,no_combo_data,,
artifacts_64__dynamics,k4_bin8-10_splitood,ok,0.0,0.008905926014104448,0.0,-0.001409422344295308,-0.046875,-0.0003327149679388519,3,true,false,no_combo_data,,
artifacts_64__dynamics,k5_bin8-10_splitood,ok,0.0,-0.02642592781385389,0.0,-0.005637689377181232,-0.1875,-0.010715258662201466,3,true,false,no_combo_data,,
artifacts_64__dynamics,k8_bin8-10_splitood,ok,0.0,0.018254576645108322,0.0,-0.013448301673633978,-0.1875,0.0005188906281050065,2,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k2_bin6-8_splitood,ok,0.0,0.012133000992121445,0.0,-0.0054778554767835885,-0.09375,-0.0006220044082245746,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k2_bin8-10_splitood,ok,0.0,-0.08123222734674318,0.0,-0.016267146362224594,-0.28125,-0.00012165051158097295,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k3_bin6-8_splitood,ok,0.0,-0.013658211340208393,0.016129032258064502,-0.002818844688590616,-0.09375,-0.0010406851078136325,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k3_bin8-10_splitood,ok,0.0,-0.015727589527368746,0.0,-0.01203887932933867,-0.140625,-0.009677935829495832,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k4_bin8-10_splitood,ok,0.0,-0.015727589527368746,0.0,-0.01203887932933867,-0.140625,-0.009677935829495832,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k5_bin8-10_splitood,ok,0.0,0.0056080713939850035,0.0,0.0,0.0,-0.001205444187863114,1,false,false,no_combo_data,,
artifacts_64__dynamics_variants__baseline_plain,k8_bin8-10_splitood,ok,0.0,0.1368342775243443,-0.140625,-0.01203887932933867,-0.140625,0.0024900774974828677,3,false,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k2_bin6-8_splitood,ok,0.0,-0.005622056356483274,0.0,-0.03579164046095684,-0.109375,-0.0006693408325330608,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k2_bin8-10_splitood,ok,0.0,0.012173915408240088,0.0,-0.04879283579066396,-0.109375,-0.012996618717384001,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k3_bin6-8_splitood,ok,0.0,0.01377418602585756,-0.015625,-0.027809851366328076,-0.03125,-0.0021536531382206903,4,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k3_bin8-10_splitood,ok,0.0,-0.0563434452602114,0.0,-0.047460120054893196,-0.28125,-0.0016542182244225767,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k4_bin8-10_splitood,ok,0.0,-0.0563434452602114,0.0,-0.047460120054893196,-0.28125,-0.0016542182244225767,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k5_bin8-10_splitood,ok,0.0,0.023643072980784385,0.0,-0.1254672920331359,-0.28125,-0.01679323777337066,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__gene_bias,k8_bin8-10_splitood,ok,0.0,0.028745012087303845,0.0,-0.13243769714608788,-0.296875,-0.017514017678911697,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k2_bin6-8_splitood,ok,0.0,0.017394737003570526,0.0,-0.0027470756031107157,-0.0625,-0.00012726428288323266,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k2_bin8-10_splitood,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k3_bin6-8_splitood,ok,0.0,0.022208156172092597,-0.016393442622950616,-0.009474519523791969,-0.109375,0.00036086600585882866,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k3_bin8-10_splitood,ok,0.0,0.008911813341614838,0.0,-0.001409422344295308,-0.046875,-0.0003306344192424149,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k4_bin8-10_splitood,ok,0.0,0.008911813341614838,0.0,-0.001409422344295308,-0.046875,-0.0003306344192424149,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k5_bin8-10_splitood,ok,0.0,-0.02643680781427049,0.0,-0.005637689377181232,-0.1875,-0.010720951332957807,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear,k8_bin8-10_splitood,ok,0.0,0.01825060871986839,0.0,-0.013448301673633978,-0.1875,0.0005216369253176478,2,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin6-8_splitood,ok,0.0,0.010754709223307124,0.0,-0.04743155022151768,-0.09375,-0.0026583489462075893,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin8-10_splitood,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin6-8_splitood,ok,0.0,0.01047973115826073,0.0,-0.03944463451625779,-0.109375,-0.00032353656431638456,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin8-10_splitood,ok,0.0,0.04491730687553597,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k4_bin8-10_splitood,ok,0.0,0.04491730687553597,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k5_bin8-10_splitood,ok,0.0,0.04491730687553597,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_combo0,k8_bin8-10_splitood,ok,0.0,0.04491730687553597,0.0,0.0,0.0,0.0,0,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin6-8_splitood,ok,0.0,0.011644107889007493,0.0,-0.026333597459597513,-0.140625,0.0010945771749089062,2,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin8-10_splitood,ok,0.140625,-0.025859260125602912,0.0,-0.001409422344295308,-0.046875,0.0026781823546819794,2,false,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin6-8_splitood,ok,0.0,-0.005097039722363306,0.0,-0.015466132113942876,-0.125,-0.0018379066246728692,3,true,false,no_combo_data,,
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin8-10_splitood,ok,0.0,0.033418364697972436,0.0,-0.00469807448098436,-0.15625,-0.006166713058131046,3,true,false,no_combo_data,,
